Localidade,Concelho,Instituição,Urgência ,Voluntários ,Necessidades,Primeiro e Último Nome,Email,Telefone
Aldeia viçosa - Guarda,Guarda,Associação de melhoramentos de aldeia viçosa,Média,1-5,"Enfermagem, Apoio e Higiene Pessoal, Apoio Psicológico",Sandra Santos,amav.financeiro@sapo.pt,962488947
Almaceda,Castelo branco,Centro Social Paroquial de Almaceda,Alta,1-5,Enfermagem,Ana Ladeira,centrodealmaceda@gmail.com,272726239
Mós,Torre de Moncorvo,Associação de Bem Fazer de Mós,Alta,1-5,"Limpeza, Apoio e Higiene Pessoal, Apoio Cultural / Ocupacional",Teresa Ramos,assc.bem.fazer@sapo.pt,938896293 / 279939257
Quintinha - Cotovia,Sesimbra,"As Tias - Lar 3ª Idade, Lda",Média,6-10,"Limpeza, Enfermagem, Cozinha, Apoio e Higiene Pessoal, Apoio Psicológico",Ana Gaboleiro,astias.lardaterceiraidade@gmail.com,961590878
VAle de Azares,Celorico da Beira,Associação de Melhoramentos Cultural Desportiva e Recreativa de Vale de Azares ,Alta,6-10,"Limpeza, Cozinha, Apoio Domiciliario",Prof. Madalena Achando,amcdrvaledeazares@hotmail.com,962938447
Monte Redondo,Leiria,Centro Social Paroquial Nossa Senhora da Piedade,Média,1-5,"Limpeza, Enfermagem, Apoio Psicológico",Rita Pinheiro,centrosrapiedademredondo@gmail.com,244685764
Milheirós de Poiares,Santa Maria da Feira,Centro Social Dr. Crispim,Média,6-10,"Limpeza, Enfermagem, Apoio e Higiene Pessoal, Apoio Cultural / Ocupacional, Apoio Psicológico",Luis Pinho,contabilidade.drcrispim@gmail.com,918404573
Ereira,Montemor-o-Velho,Associação Cultural Desportiva e Social da Ereira,Média,1-5,"Cozinha, Apoio e Higiene Pessoal",Ana Martins,acdsereira@gmail.com,239676370
Canelas,Peso da Régua,Associação de Assistência Nossa Senhora das Candeias,Baixa,1-5,"Cozinha, Apoio Psicológico",Ana Teixeira,dir.tecnica.aansc@gmail.com,912209553
Estremoz,Estremoz,Cerciestremoz,Baixa,6-10,"Limpeza, Enfermagem, Apoio e Higiene Pessoal, Apoio Cultural / Ocupacional",Ana Nunes,cerciestremoz@gmail.com,934552020
Braga,Braga,"ARPIVE - Associação de Reformados, Pensionistas e Idosos do Vale D'Este",Média,1-5,"Apoio e Higiene Pessoal, Apoio Cultural / Ocupacional",João Quaresma,arvebraga@gmail.com,968429090
Apúlia,Esposende,ASCRA,Média,1-5,Enfermagem,Júlio Dimas,ascra.ascra@gmail.com,253961727
Vidais ,Caldas da Rainha,Centro Social Paroquial Nª Sra. Piedade de Vidais,Baixa,1-5,Apoio Psicológico,Leonor Santos,centrovidais@gmail.com,262930086
Lisboa,Lisboa,Sol- Associação de Apoio a Crianças com VIH,Baixa,1-5,Voluntarios para irem buscar as refeiçoes diariamente ,Ines Gonçalves,associacaosol@netcabo.pt,918607454
Moçarria,Santarém,Centro Social da Freguesia de Moçarria,,1-5,"Cozinha, Apoio e Higiene Pessoal",Dinis Vieira (dinis.vieira@hotmail.com),cdmocarria@gmail.com,964953354
Évora,Évora,Centro Social Nossa Senhora Auxiliadora,Baixa,1-5,Apoio e Higiene Pessoal,Cláudia Simões,csnsa.claudiasimoes@gmail.com,936252758
Santiago do Cacém,santiago do Cacém,CERCISIAGO,Baixa,1-5,Apoio Cultural / Ocupacional,Carla Oliveira,cercisiago@gmail.com,965551184
LOURIÇAL DO CAMPO,CASTELO BRANCO,CENTRO DE DIA E SOCIAL DE SÃO BENTO,Baixa,6-10,"Limpeza, Enfermagem, Cozinha, Apoio e Higiene Pessoal, Apoio Cultural / Ocupacional, Apoio Psicológico",CÉLIA SANTOS,centrodesbento@hotmail.com,969639006
Olhalvo ,Alenquer,"Casa de Repouso Quinta da Relva, Lda",Alta,1-5,"Limpeza, Cozinha, Apoio e Higiene Pessoal",Enf.Marta Gaio,adm.qdrelva@gmail.com,965839657
Vila Cova à Coelheira,Vila Nova de Paiva,Associação de Solidariedade e Cultural Cruz de Malta,Alta,,Equipamento de Proteção Individual,Andrea Amaral,asccm@sapo.pt,935242210
Nespereira,Gouveia,Associação dos Amigos de Nespereira,Baixa,1-5,"Limpeza, Cozinha, Apoio e Higiene Pessoal, Apoio Cultural / Ocupacional",Diana Oliveira,a.a.nespereira@hotmail.com,238494015
Penalva - Stº António da Charneca,Barreiro,CERCIMB,Alta,,Equipamento de Proteção Individual,Mercês Rodrigues Martins,cercimb.sede@gmail.com,968117155
Pinelo,Vimioso,Centro Social Paroquial Stª Eulália,Média,1-5,"Limpeza, Enfermagem, Cozinha, Apoio e Higiene Pessoal, Equipamento de Proteção Individual",Tânia Torrão,c.social.pinelo@hotmail.com,968264394
peva,Almeida,Associação dos Amigos de Peva,Média,6-10,Apoio e Higiene Pessoal,Isabel Monteiro,a.m.peva@hotmail.com,271448528
Santarém,Santarém,APPACDM de Santarém,Média,1-5,"Enfermagem, Equipamento de Proteção Individual, Médicos",Filipa Carias,appacdm.santarem.ar@gmail.com,964855561
EREIRA,CARTAXO,CENTRO SOCIAL PAROQUIAL DA EREIRA,Alta,,Equipamento de Proteção Individual,ANTONINA OLIVEIRA,centro.paroq.ereira@mail.telepac.pt,243719138/961357748
Vila Franca de Xira,Vila Franca de Xira,Unidade de Cuidados Continuados Integrados da Associação para o Bem Estar Infantil da Freguesia de Vila Franca de Xira ,Média,1-5,"Limpeza, Enfermagem, Apoio e Higiene Pessoal, Equipamento de Proteção Individual, Equipamento de incontinência e higiene pessoal.",Susana Santos (Diretora técnica),unidade.saude@abeivfxira.pt,263285000
Vila Nova de Tazem,Gouveia,Centro Social Paroquial Nossa Senhora da Assunção ,Alta,1-5,"Limpeza, Apoio e Higiene Pessoal, Equipamento de Proteção Individual",Paula Figueiró,cspnsassunção@gmail.com,238486150
Algueirão,Sintra,O Castelo-Casa de Repouso e Recuperação,Média,,Equipamento de Proteção Individual,Isabel Monteiro,castelocasaderepous@sapo.pt,219209101
Tentúgal ,Montemor-o-velho,Santa casa da misericórdia de Tentúgal,Média,1-5,"Limpeza, Apoio e Higiene Pessoal, Equipamento de Proteção Individual",Ana Oliveira,asocial.misericordia.tentugal@gmail.com,964044879
Coimbra,Coimbra,SCM de Coimbra,Média,6-10,"Limpeza, Cozinha, Apoio e Higiene Pessoal, Equipamento de Proteção Individual",Andreia Rigueiro,joel.araujo@misericordiacoimbra.pt,919719134
Camarate,Loures,Centro Social e Paroquial Nuno Álvares Pereira de São Tiago de Camarate,Média,1-5,Buscar donativos ao Banco Alimentar e respetiva distribuição às famílias,Joel Araújo,centrosocialnap@gmail.com,936179931
Melo,Gouveia,Associação de beneficência Cultural e Recreativa de Melo,Média,1-5,"Limpeza, Enfermagem, Apoio e Higiene Pessoal, Equipamento de Proteção Individual",Filipa Mineiro,associacaomelo@gmail.com,238748300
SABROSA/ALIJÓ,SABROSA/ALIJÓ,APPACDM DE VILA REAL - SABROSA,Baixa,1-5,"Enfermagem, Equipamento de Proteção Individual",Joana Manta,appacdmsabrosa@hotmail.com,933259908
Lisboa,Lisboa,Associação de Apoio Social da Portugal Telecom,Média,1-5,"Enfermagem, Apoio e Higiene Pessoal, Equipamento de Proteção Individual",MARIA HELENA LAPA,sofia.v.selada@aaspt.pt,917194641
MELIDES,GRÂNDOLA,CASA DO POVO DE MELIDES,Média,1-5,"Limpeza, Enfermagem, Cozinha, Apoio e Higiene Pessoal, Apoio Cultural / Ocupacional, Apoio Psicológico, Equipamento de Proteção Individual",Sofia Selada,casadopovo.melides@gmail.com,269979188 ou 269907111
Terena,Alandroal,APIT,Alta,6-10,"Limpeza, Enfermagem, Cozinha, Apoio e Higiene Pessoal, Apoio Psicológico, Equipamento de Proteção Individual",ÉLIA SOBRAL,apiterena@sapo.pt,965353740
Alquerubim,Albergaria-a-Velha,Associação de Solidariedade Social de Alquerubim,Alta,,"Equipamento de Proteção Individual, Gel alcoolico desifetante",Ângela Palhoco,assa.alquerubim@gmail.com; luisduarteoliveira@gmail.com,967373086
Marinhais,Salvaterra de magos ,Casa de repouso Sonhos Meus ,Baixa,1-5,Apoio e Higiene Pessoal,Luis Oliveira,Ciniapereira.asidosos@gmail.com ,2635o6405
Carlão Alijo,Alijo,Centro Social Recreativo e Cultural Carlão ,Alta,,"Cozinha, Apoio e Higiene Pessoal, Equipamento de Proteção Individual",Cinia Pereira ,csrc_carlao@sapo.pt,259657393/968164398
